dobih_number,os_id,dobih_name,os_name
15795,osgb4000000074622526,Coedanghred Hill,Coedanghred Hill
15820,osgb4000000074596443,Pen-y-clawdd,Pen-y-clawdd
15829,osgb4000000074780979,Cefn Hirgoed,Cefn Hirgoed
15832,osgb4000000074615972,Llancaeo Hill,Llancaeo Hill
15835,osgb4000000074596446,Pengay,Pen-y-Gau
15849,osgb4000000074619355,Pantau,Pantau
15850,osgb4000000074594320,Cilifor Top,Cilifor Top
15853,osgb4000000074607642,Chepstow Hill,Chepstow Hill
15855,osgb4000000074777374,Cock Hill,Cock Hill
15866,osgb4000000074594326,Coed Cefn,Coed Cefn
15878,osgb4000000074778463,Summer House Hill,Summer House Hill
15893,osgb4000000074606674,Brackla Hill,Brackla Hill
15910,osgb4000000074607218,Wilcrick Hill,Wilcrick Hill
15917,osgb4000000074620765,Inner Head,Inner Head
15920,osgb4000000074599442,Christianbury Crag,Christianbury Crag
15921,osgb4000000074605116,Dryhope Hill,Dryhope Hill
15922,osgb4000000074605967,Coldburn Hill,Coldburn Hill
15924,osgb4000000074622265,Greyhound Law,Greyhound Law
15925,osgb4000000074606813,Raeshaw Fell,Raeshaw Fell
15926,osgb4000000074605970,Ward Law,Ward Law
15927,osgb4000000074607225,Yearning Law,Yearning Law
15928,osgb4000000074605549,Lumsdon Law,Lumsdon Law
15929,osgb4000000074605979,Leap Hill,Leap Hill
15932,osgb4000000074599971,Blackman's Law,Blackman's Law
15933,osgb4000000074606389,Swineside Law,Swineside Law
15935,osgb4000000074623127,Purdom Pikes,Purdom Pikes
15936,osgb4000000074605124,Cold Law,Cold Law
15937,osgb4000000074775705,Sneer Hill,Sneer Hill
15939,osgb4000000074607224,Broadside Law,Broadside Law
15940,osgb4000000074716330,Inner Hill,Inner Hill
15942,osgb4000000074622295,Inner Hill,Inner Hill
15944,osgb4000000074620340,Simonside,Simonside
15947,osgb4000000074775646,Shorthope Hill,Shorthope Hill
15948,osgb4000000074608937,Coldsmouth Hill,Coldsmouth Hill
15949,osgb4000000074597093,Ridlees Cairn,Ridlees Cairn
15950,osgb4000000074600390,Darden Rigg,Darden Rigg
15952,osgb4000000074608931,Madam Law,Madam Law
15953,osgb4000000074602067,Earl's Seat,Earl's Seat
15954,osgb4000000074605969,Middle Hill,Middle Hill
15955,osgb4000000074606385,Long Hill,Long Hill
15956,osgb4000000074608494,High Knowes,High Knowes
15957,osgb4000000074605115,Lords Seat,Lords Seat
15958,osgb4000000074606387,Dumbhope Law,Dumb Hope
15960,osgb4000000074608916,Ritto Hill,Ritto Hill
15961,osgb4000000074605537,Crigdon Hill,Crigdon Hill
15964,osgb4000000074622850,Cold Law,Cold Law
15966,osgb4000000074598714,Inner Hill,Inner Hill
15967,osgb4000000074605119,Dod Hill,Dod Hill
15968,osgb4000000074775361,Haddon Hill,Haddon Hill
15969,osgb4000000074607245,Fredden Hill,Fredden Hill
15970,osgb4000000074603882,Longknowe Hill,Longknowe Hill
15971,osgb4000000074599967,Sappers' Pike,Sappers' Pike
15973,osgb4000000074608092,Kilham Hill,Kilham Hill
15974,osgb4000000074622891,Muckle Samuel's Crags,Muckle Samuel's Crags
15975,osgb4000000074600263,Hart Side,Hart Side
15976,osgb4000000074599969,Hepple Heugh,Hepple Heugh
15977,osgb4000000074616892,Cochrane Pike,Cochrane Pike
15983,osgb4000000074600112,Midhopelaw Pike,Midhopelaw Pike
15984,osgb4000000074607102,Sewingshields Crags,Sewingshields Crags
15988,osgb4000000074601061,Cairnglastenhope,Cairnglastenhope
15989,osgb4000000074616093,Shirlaw Pike,Shirlaw Pike
15990,osgb4000000074616498,Cartington Hill,Cartington Hill
15991,osgb4000000074607250,White Law,White Law
15992,osgb4000000074608909,Dues Hill,Dues Hill
15993,osgb4000000074607248,Humbleton Hill,Humbleton Hill
15995,osgb4000000074608912,Hartside Hill,Hartside Hill
15999,osgb4000000074617294,Heddon Hill,Heddon Hill
16000,osgb4000000074600785,Black Rigg,Black Rigg
16001,osgb4000000074616890,West Hill,West Hill
16002,osgb4000000074600784,Blakeman's Law,Blakeman's Law
16005,osgb4000000074767640,Garleigh Hill,Garleigh Hill
16006,osgb4000000074617299,Cateran Hill,Cateran Hill
16007,osgb4000000074601194,Hummell Knowe,Hummell Knowe
16008,osgb4000000074763375,Moot Law,Mootlaw
16010,osgb4000000074608095,Coldside Hill,Coldside Hill
16016,osgb4000000074616888,Gibb's Hill,Gibb's Hill
16020,osgb4000000074607243,Earle Whin,Earle Whin
16021,osgb4000000074619949,Rothley Crags,Rothley Crags
16022,osgb4000000074600660,Chamot Hill,Chamot Hill
16023,osgb4000000074608096,Kypie Hill,Kypie Hill
16024,osgb4000000074773837,Bewick Hill,Bewick Hill
16025,osgb4000000074606411,Pawston Hill,Pawston Hill
16027,osgb4000000074604699,Castle Hill,Castle Hill
16028,osgb4000000074598624,White Hill,White Hill
16030,osgb4000000074608908,Wreighill Pike,Wreighill Pike
16031,osgb4000000074617692,Kay Hill,Kay Hill
16033,osgb4000000074607671,West Hill,West Hill
16034,osgb4000000074773799,Blackchester Hill,Blackchester Hill
16035,osgb4000000074619948,Shaftoe Crags,Shaftoe Crags
16037,osgb4000000074616499,Glanton Hill,Glanton Hill
16041,osgb4000000074618090,Greensheen Hill,Greensheen Hill
16044,osgb4000000074618479,Shepherdskirk Hill,Shepherdskirk Hill
16047,osgb4000000074617296,Harehope Hill,Harehope Hill
16048,osgb4000000074623279,Beacon Hill,Beacon Hill
16050,osgb4000000074594318,Chesterhill,Chester Hill
16051,osgb4000000074763154,Shildon Hill,Shildon Hill
16054,osgb4000000074617694,Chattonpark Hill,Chattonpark Hill
16055,osgb4000000074600521,Harehaugh Hill,Harehaugh Hill
16057,osgb4000000074615714,Beacon Hill,Beacon Hill
16059,osgb4000000074600381,Warden Hill,Warden Hill
16060,osgb4000000074763239,Whittington Hill,Whittington Hill
16061,osgb4000000074601779,Allieshaw Rigg,Allieshaw Rigg
16065,osgb4000000074622437,White Hill,White Hill
16066,osgb4000000074592697,White House Hill,White House Hill
16068,osgb4000000074618085,Whitsunbank Hill,Whitsunbank Hill
16069,osgb4000000074608093,Goatscrag Hill,Goatscrag Hill
16070,osgb4000000074594924,Halidon Hill,Halidon Hill
16074,osgb4000000074762979,Horsley Hill,Horsley Hill
16076,osgb4000000074767602,Quarry Hill,Quarry Hill
16078,osgb4000000074608094,White Hill,White Hill
16081,osgb4000000074622683,Mattilees Hill,Mattilees Hill
16082,osgb4000000074597134,Billylaw,Billylaw
16086,osgb4000000074594951,Berwick Hill,Berwick Hill
16087,osgb4000000074773877,Long Hills,Long Hills
16088,osgb4000000074773895,Brada Hill,Brada Hill
16092,osgb4000000074600346,Whinfell Beacon,Whinfell Beacon
16093,osgb4000000074600484,Whinash,Whinash
16097,osgb4000000074622767,Beacon Hill,Beacon Hill
16098,osgb4000000074600345,Jeffrey's Mount,Jeffrey's Mount
16104,osgb4000000074620575,Dillicar Knott,Dillicar Common
16105,osgb4000000074622769,Shap Thorn,Shap Thorn
16107,osgb4000000074618539,Shooting House Hill,Shooting House Hill
16110,osgb4000000074601159,Windrigg Hill,Windrigg Hill
16113,osgb4000000074620190,Knotts,Knotts
16114,osgb4000000074601635,Warnell Fell,Warnell Fell
16119,osgb4000000074622503,Ladies Table,Ladies Table
16123,osgb4000000074601916,Harrot,Harrot
16128,osgb4000000074599940,Park Fell,Park Fell
16129,osgb4000000074618157,Gate Crag,Gate Crag
